2026-03-16 07:54:51,948 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:51,985 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing EURJPY: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:52,991 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:53,005 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing GBPCHF: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:54,020 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:54,035 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing GBPJPY: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:55,041 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:55,052 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing GBPJPY: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:56,061 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:56,081 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing NZDUSD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:57,086 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:57,092 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDSGD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:58,123 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:58,159 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDSGD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:54:59,167 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:54:59,177 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDCNH: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:00,203 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:00,232 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDCNH: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:01,237 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:01,245 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDCZK: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:02,265 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:02,291 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDCZK: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:03,296 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:03,303 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDDKK: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:04,327 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:04,355 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing USDHKD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:05,374 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
